shoe_name,shoe_price,shoe_category,shoe_nColors
Tenis Forum 84 High,"$3,299",Originals,1
Tenis Adizero Takumi Sen 9,"$3,611",Running,3
Tenis de Futbol X CRAZYFAST.3 LL FG,"$2,399",Fútbol,2
Calzado de Fútbol Copa Pure II League Pasto Sintético,"$1,999",Fútbol,2
Calzado de Fútbol Copa Pure II Club Multiterreno,"$1,399",Fútbol,3
Tenis Galaxy Star,"$1,172",Running,3
Tenis Galaxy Star,"$1,172",Hombre Running,5
Tenis USA 84,"$1,399",Originals,5
Tenis adidas Court Plataforma,"$1,299",Sportswear,5
Tenis Swift Run,"$1,816",Sportswear,4
Calzado de Fútbol X Crazyfast Messi.1 Terreno Firme,"$4,799",Fútbol,1
Tenis adidas Grand Court 2.0,"$1,499",Sportswear,2
Tenis Gazelle 85,"$2,599",Originals,1
Tenis Ultraboost Light 23,"$2,359",Running,17
Tenis Duramo SL,"$1,399",Running,8
Tenis Duramo SL,"$1,399",Running,8
Tenis Duramo RC,"$1,299",Running,6
Tenis Forum 84 Low Classic,"$2,899",Originals,4
SEELEY XT,"$1,342",Originals,1
Tenis Duramo SL,Unknown,Running,8
Tenis de Entrenamiento Amplimove,"$1,399",Training,4
Tenis Hoops 3.0 Low Classic,"$1,499",Sportswear,4
Tenis Harden Vol. 7,"$3,399",Basketball,4
Tenis Superstar,"$2,199",Originals,2
Tenis adidas Court Plataforma,"$1,299",Sportswear,5
Y-3 QASA,Unknown,Y-3,2
Tenis Puremotion,Unknown,Hombre Sportswear,1
Tenis de Ciclismo Velosamba Made With Nature,Unknown,Ciclismo,2
Tenis Handball Spezial,"$2,199",Originals,10
Tenis NMD_S1,"$2,559",Originals,11
Tenis USA 84,"$1,399",Originals,5
Tenis AdiFOM Superstar,"$1,799",Originals,3
AMSTERDAM,"$2,199",Originals,2
Tenis Park Street,"$1,599",Sportswear,6
Tenis NMD_S1,"$3,359",Originals,11
Tenis Park Street,"$1,599",Sportswear,3
Tenis Harden Vol. 7,"$3,399",Basketball,4
Tenis Harden Volume 8,"$3,899",Basketball,3
Tenis Gazelle edición Selección Nacional de México,"$2,099",Originals,3
Calzado de Fútbol Copa Gloro Terreno Firme,"$2,999",Fútbol,2
FORUM LOW,"$2,399",Hombre Originals,11
Calzado de fútbol Copa Pure II+ Terreno Firme,"$6,079",Fútbol,3
Tenis Predator Mundial,"$2,399",Originals,2
Calzado de Fútbol Predator 24 League Low Pasto Sintético,"$2,299",Fútbol,3
Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,8
Tenis adidas by Stella McCartney Sportswear,"$5,799",adidas by Stella McCartney,1
Tenis Heawyn,"$1,847",Sportswear,4
Tenis Dropset 2,"$2,435",Training,10
Tenis Top 10 2000,"$2,685",Originals,2
Tenis Bounce Legends,"$1,899",Basketball,2
Tenis Handball Spezial,"$2,199",Hombre Originals,10
Tenis Runfalcon 2.0,"$1,399",Running,15
Tenis de Senderismo Eastrail 2.0 RAIN.RDY Mid,"$2,999",TERREX,2
Tenis Run 50S,"$1,099",Sportswear,5
Tenis Falcon,"$2,199",Originals,9
Tenis Adistar COLD.RDY,"$3,699",Running,1
Tenis Dropset 2,"$2,599",Training,10
Tenis Duramo SL,"$1,399",Running,8
Tenis adidas Court Low Streetcheck Cloudfoam,"$1,342",Sportswear,4
Tenis Daily 3.0,"$1,399",Sportswear,4
Tenis Questar,"$1,500",Running,9
Calzado de Fútbol Copa Pure II Club Pasto Sintético,"$1,399",Fútbol,2
Tenis adidas VL Court 3.0,"$1,499",Sportswear,4
Tenis NMD_S1,"$2,559",Originals,4
Tenis Nizza Trek,"$1,816",Originals,2
Tenis Duramo RC,"$1,299",Running,5
Tenis Adifom Climacool,"$2,399",Originals,3
Tenis Samba OG,"$2,199",Originals,2
Tenis Response Runner,"$1,299",Running,12
Tenis Postmove Mid,"$1,799",Hombre Sportswear,4
Tenis Racer TR23,"$1,579",Sportswear,11
Tenis de Básquet Own the Game 2.0 Lightmotion Mid,"$1,499",Sportswear,1
Tenis Superstar,"$2,199",Originals,23
NMD_R1,"$2,855",Originals,1
Tenis Galaxy 6,"$1,499",Running,14
Calzado de Fútbol Copa Pure II League Terreno Firme,"$1,999",Fútbol,3
Tenis Superstar Supermodified,"$2,699",Originals,2
Tenis Adizero SL Cierra,"$2,267",Running,1
Tenis Superstar XLG,"$2,599",Originals,7
Tenis OZWEEGO,"$2,519",Originals,12
Tenis Ultraboost Light,"$3,359",Running,21
Zuecos adilette,$899,Natación,1
Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,8
Tenis Forum Low CL,"$2,399",Originals,2
Tenis Amsterdam,"$2,199",Originals,2
Tenis Ozelle Cloudfoam,"$1,799",Sportswear,4
Tenis Y-3 Marathon TR,"$6,299",Y-3,2
Tenis Ozelle Cloudfoam,"$1,579",Sportswear,7
Tenis Run 50S,"$1,099",Sportswear,5
Calzado de fútbol X Crazyfast Club Pasto Sintético,"$1,499",Fútbol,1
Calzado I Basketball Fear of God Athletics,"$4,299",Fear of God Athletics,1
Y-3 KAIWA,"$5,567",Y-3,4
Y-3 MAKURA,"$6,489",Y-3,2
Tenis Showtheway 2.0,"$1,299",Sportswear,3
Tenis Hoops 2.0,"$1,399",Sportswear,2
Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,8
Tenis OZWEEGO,"$2,999",Originals,2
Tenis Advantage Base adidas Court,"$1,299",Sportswear,5
Tenis Solarboost 5,"$2,241",Running,2
Tenis Superstar,"$2,199",Originals,2
Tenis Duramo Speed,"$1,737",Running,10
Tenis de Ciclismo Velosamba Made With Nature,"$2,999",Ciclismo,2
Tenis Bounce Legends,"$1,899",Basketball,4
Calzado de Fútbol Copa Pure II Club Pasto Sintético,"$1,399",Fútbol,2
Tenis Adizero Ubersonic 4.1 para Tenis,"$3,299",Tennis,3
Y-3 RUNNER 4D HALO,"$7,039",Y-3,3
ADIDAS  X BSTN SAMBA,"$3,199",Originals,1
RIVALRY LOW,"$2,199",Originals,2
Tenis de Senderismo Terrex AX4 Mid GORE-TEX,"$3,499",TERREX,1
Sandalias Adilette Aqua (UNISEX),$799,Yoga,15
Tenis Adifom Climacool,"$2,399",Originals,3
Tenis Stan Smith CS,"$2,099",Originals,7
ADIZERO ADIOS PRO 3 M,"$4,999",Running,7
Tenis Gazelle,"$2,099",Originals,14
Calzado de Fútbol Predator 24 League Low Pasto Sintético,"$2,299",Fútbol,3
Tenis OZWEEGO,"$2,519",Originals,2
Tenis Adizero SL,"$2,132",Running,17
Tenis Y-3 Gazelle,"$7,999",Y-3,4
Tenis Multix,"$1,343",Sportswear,6
Tenis Multix,"$1,599",Originals,6
Tenis Advantage,"$1,399",Sportswear,12
Tenis Courtblock,"$1,199",Hombre Sportswear,4
Tenis Dropset 2,"$2,599",Training,10
Tenis Response Runner,"$1,299",Running,12
Tenis Supernova 2.0 x Parley,"$2,053",Running,1
Tenis Superstar,"$2,199",Originals,1
Tenis Astir,"$2,053",Originals,7
Tenis Bravada,"$1,299",Sportswear,3
Sandalias Terrex Hydroterra,"$1,899",TERREX,2
Tenis Courtblock,"$1,199",Sportswear,10
Tenis Daily 3.0,"$1,399",Sportswear,4
Tenis Trae Young 3 Low,"$3,023",Basketball,1
Tenis adidas Grand Court TD Lifestyle Court Casual,"$1,399",Sportswear,6
Tenis Duramo SL,"$1,399",Running,8
Tenis Ultraboost Light 23,"$3,611",Running,1
Tenis Ultraboost Light 23,"$2,559",Running,17
Tenis Forum Low,"$1,895",Originals,2
Tenis Y-3 Superstar,"$4,829",Y-3,5
Tenis Handball Spezial,"$2,199",Originals,10
Tenis OZELIA,"$2,183",Originals,7
Tenis Run 70s,"$1,799",Sportswear,3
Tenis Stan Smith,"$1,651",Originals,2
Tenis D Rose Son of Chi 3,"$2,699",Basketball,1
Tenis de Running 4DFWD 3,"$5,499",Running,4
Tenis Campus 00s,"$2,499",Originals,2
TORSION SUPER,"$2,132",Originals,2
Tenis Duramo SL 2.0,"$1,499",Running,5
Tenis Adizero RC 4,"$1,816",Running,7
Tenis Adistar COLD.RDY,"$3,699",Running,1
Calzado de Fútbol Predator 24 Elite Pasto Sintético,"$3,999",Fútbol,1
Tenis Puremotion 2.0,"$1,184",Sportswear,1
ADIZERO ADIOS PRO 3 M,"$4,999",Running,7
Tenis Hoops 3.0 Corte Medio,"$1,599",Sportswear,10
Tenis Hoops 3.0 Corte Medio,"$1,599",Hombre Sportswear,10
Calzado X Crazyfast.4 Multiterreno,"$1,499",Fútbol,3
Tenis Park ST,"$1,599",Sportswear,3
Tenis de Senderismo Terrex AX3 GORE-TEX Corte Medio,"$3,499",TERREX,1
Y-3 GENDO PRO MODEL,"$16,999",Y-3,1
Tenis Run 60s 2.0,"$1,034",Sportswear,1
Tenis AdiFOM Superstar,"$1,799",Originals,2
Tenis Stan Smith Recon,"$2,687",Originals,3
Tenis DAME 8 EXTPLY,"$2,369",Basketball,4
Tenis Galaxy Star,"$1,172",Running,5
Sandalias Adilette Shower,$899,Natación,23
Court TNS Premiere Shoes,"$1,899",Originals,2
Tenis Adizero Boston 12,"$3,611",Running,8
Tenis Ultraboost 1.0,"$3,999",Sportswear,6
Tenis Questar,"$1,899",Running,7
Tenis Ultra 4D,"$4,619",Running,1
Tenis X_PLR Path,Unknown,Sportswear,6
Tenis Breaknet 2.0,Unknown,Sportswear,5
Tenis Busenitz Vulc II,Unknown,Originals,2
Tenis Hoops 2.0,"$1,399",Sportswear,2
Tenis Top Ten 2010,"$2,889",Originals,1
Zapatos de Golf Tour360 24 BOOST,"$4,999",Hombre Golf,3
Tenis Questar,"$1,500",Running,8
Y-3 GAZELLE,"$6,999",Y-3,4
Tenis NMD_R1,"$2,345",Originals,31
Tenis Trae Young 3,"$3,023",Basketball,3
Tenis X_PLR Phase,"$1,895",Sportswear,4
Tenis Forum 84 Low,"$2,899",Originals,1
Tenis Astir,"$2,053",Originals,7
RESPONSE CL,"$3,199",Originals,4
Tenis X_PLORBOOST,"$2,359",Sportswear,17
Tenis Runfalcon 2.0,"$1,399",Running,17
Tenis Courtblock,"$1,199",Sportswear,4
Tenis Adistar CS 2.0,"$3,191",Running,3
Tenis Forum Mid,"$2,599",Originals,6
Tenis AlphaEdge +,"$1,599",Sportswear,6
CAMPUS 00s REGENERATIVE COTTON,"$2,599",Originals,2
Tenis de Running 4DFWD x STRUNG 4D,"$6,499",Running,1
Tenis Hoops 3.0 Low Classic Vintage,"$1,499",Sportswear,7
Tenis Gazelle,"$2,099",Originals,14
Tenis Duramo SL,"$1,034",Running,11
Tenis Adizero RC 4,"$1,931",Running,3
Tenis X_PLR Phase,"$1,895",Sportswear,5
Tenis Response Runner,"$1,299",Running,12
Tenis Lite Racer 3.0,"$1,299",Sportswear,8
Tenis OZWEEGO,"$2,999",Originals,2
Tenis NMD_R1,"$2,685",Originals,31
Calzado de Golf Modern Classic 80 Spikeless,"$3,799",Golf,2
Tenis Rivalry Low,"$2,199",Hombre Originals,13
Tenis Dame Extply 2.0,"$1,579",Basketball,4
Tenis Bravada,"$1,299",Sportswear,3
Tenis Ultraboost 1.0,"$4,599",Running,2
Tenis Falcon,"$2,199",Originals,9
Tenis de Senderismo Terrex AX4 GORE-TEX,"$3,299",TERREX,5
Tenis Forum XLG,"$2,699",Originals,1
Tenis Adizero Adios Pro 3.0,"$4,999",Running,2
Tenis Campus 00s,"$2,499",Originals,2
Calzado de Fútbol Deportivo II Multiterreno,"$1,099",Fútbol,3
Tenis Rivalry Low,"$2,199",Hombre Originals,13
Tenis Duramo RC,"$1,299",Running,5
Calzado de Fútbol Predator 24 Pro Terreno Firme,"$3,999",Fútbol,1
Tenis D.O.N. Issue 5,"$3,299",Basketball,1
Tenis Runfalcon 2.0,"$1,399",Running,17
Tenis Run 70s,"$1,799",Sportswear,4
Tenis Superstar ADV,"$2,299",Originals,23
Calzado de Fútbol X Crazyfast Messi Elite Terreno Firme,"$7,499",Fútbol,1
Sandalias Adilette 22,"$1,299",Hombre Originals,14
Tenis Ultraboost 1.0,"$3,999",Running,7
Tenis OwnTheGame,"$1,499",Sportswear,7
Tenis Park Street,"$1,599",Sportswear,2
Tenis Hoops 3.0 Low Classic Vintage,"$1,499",Sportswear,7
Tenis Osade,"$2,099",Sportswear,4
Tenis Advantage,"$1,399",Sportswear,12
Tenis X_PLORBOOST,"$3,359",Running,17
Tenis Ultraboost Light,"$3,359",Running,21
RESPONSE CL,"$2,527",Hombre Originals,2
Tenis Advantage Base,"$1,299",Sportswear,6
Tenis Forum Low,"$2,399",Originals,2
Tenis adidas Grand Court Cloudfoam Lifestyle Court Comfort,"$1,499",Sportswear,7
Tenis OwnTheGame,"$1,499",Lifestyle,7
Tenis Samba OG,"$2,199",Originals,2
Tenis OZMILLEN,"$2,399",Originals,4
Tenis Questar,"$1,500",Running,4
Tenis Adizero SL,"$2,699",Running,17
Tenis Ultraboost Light 23,"$3,999",Running,21
Tenis Stan Smith,"$2,099",Originals,12
Tenis Duramo RC,"$1,299",Running,5
Tenis Samba,"$2,599",Originals,3
Tenis Runfalcon 2.0,"$1,399",Running,15
Calzado de Fútbol X Crazyfast+,"$6,399",Fútbol,2
Tenis Hoops 3.0 Mid Classic Vintage,"$1,599",Sportswear,10
Tenis Courtblock,"$1,199",Sportswear,8
Calzado de Fútbol Goletto VIII Pasto Sintético,"$1,199",Fútbol,3
Tenis Forum Mid,"$2,053",Originals,6
Calzado de Fútbol Predator Freestyle,"$2,299",Fútbol,2
Tenis Avryn,"$1,919",Sportswear,14
Tenis Duramo SL,"$1,499",Running,11
Tenis Superstar x KSENIASCHANIDER,"$2,399",Originals,1
Calzado de Fútbol Predator Elite Terreno Blando,"$9,999",Fútbol,1
Tenis SOLARGLIDE 6,"$2,239",Running,7
Calzado de Fútbol Deportivo II Cancha Cubierta,"$1,099",Fútbol,3
Tenis Ultraboost Light 23,"$3,359",Running,21
Tenis Forum Low Classic,"$2,399",Originals,10
Tenis Superstar ADV x Always,"$2,199",Originals,1
Tenis de Running Switch FWD,"$2,764",Running,6
Tenis Crazy 8,"$3,059",Originals,1
Calzado de Fútbol Deportivo II Cancha Cubierta,"$1,099",Fútbol,3
Calzado de Fútbol Predator League Cancha Cubierta,"$2,199",Fútbol,1
Tenis Dame Extply 2.0,"$1,679",Basketball,4
Tenis Questar,"$1,899",Running,9
Tenis Courtflash Speed para Tenis,"$1,500",Tennis,2
Tenis Response Super,"$1,899",Running,5
Tenis Gazelle,Unknown,Originals,14
ADIZERO SL,Unknown,Running,16
Sandalias Adilette 22,Unknown,Hombre Originals,14
Tenis Postmove Mid,Unknown,Sportswear,1
Tenis Alphaboost V1,Unknown,Sportswear,8
Tenis de Running Alphabounce+ Sustainable Bounce,Unknown,Sportswear,10
Tenis Ultraboost 1.0,Unknown,Running,7
Tenis Y-3 Kaiwa,Unknown,Y-3,4
Tenis Supernova Running 3,Unknown,Hombre Running,8
Tenis SOLARGLIDE 6,Unknown,Running,7
Tenis Superstar,Unknown,Hombre Originals,23
Tenis de Entrenamiento Amplimove,Unknown,Training,4
Calzado de Fútbol Copa Gloro Terreno Firme,Unknown,Fútbol,2
Tenis Trae Young 3,Unknown,Basketball,3
STAN SMITH CS,Unknown,Originals,1
Tenis Courtbeat adidas Court,"$1,349",Sportswear,2
FORUM LOW CL,"$2,399",Originals,2
Sandalias Adilette Aqua (UNISEX),$799,Sportswear,15
Tenis OZWEEGO,"$2,369",Originals,12
Tenis Gazelle DDM,"$2,099",Originals,14
Tenis NMD_S1,"$3,359",Originals,11
Tenis Rapidmove ADV,"$2,299",Training,6
Tenis adidas Grand Court Cloudfoam Lifestyle Court Comfort,"$1,172",Sportswear,7
Sandalias Adilette 22,"$1,299",Hombre Originals,1
Tenis Ultraboost 1.0,"$3,611",Running,7
Tenis Adizero Rose 1.5 Restomod,"$2,431",Basketball,1
Tenis NMD_S1,"$3,359",Originals,2
adiFOM CLIMACOOL,"$2,399",Originals,1
Zapatillas para Mountain Bike Five Ten Freerider Pro Lona,"$3,191",TERREX,1
Tenis Forum Bold,"$2,399",Originals,3
Tenis D Rose Son of Chi 3,"$2,699",Basketball,3
Tenis Gazelle,"$2,499",Originals,2
Tenis D Rose Son of Chi 3,"$2,699",Basketball,3
Tenis Superstar XLG,"$2,599",Originals,2
Tenis Harden Volume 7,"$3,999",Basketball,4
Tenis OZWEEGO OG,"$1,769",Originals,3
Tenis Adimatic,"$1,954",Originals,1
Tenis NMD_W1,"$3,107",Originals,3
Tenis Stan Smith PRIDE RM,"$2,053",Originals,1
Calzado de Fútbol Predator 24 League Low Pasto Sintético,"$2,299",Fútbol,3
Tenis Solarcontrol 2.0,"$2,606",Running,1
Tenis Lite Racer 3.0,"$1,299",Sportswear,7
Sandalias Adilette Aqua (UNISEX),$599,Sportswear,15
Tenis Park Street,"$1,599",Sportswear,3
Y-3 QISAN KNIT,"$6,079",Y-3,1
Tenis Daily 3.0,"$1,399",Sportswear,4
Tenis OZELIA,"$2,053",Originals,7
Tenis Adistar 2.0,"$2,064",Running,7
ADIDAS  X KASINA SAMBA,"$2,699",Originals,1
Tyshawn Shoes,"$2,053",Originals,1
Tenis OZWEEGO,"$2,519",Originals,12
Tenis Lite Racer 3.0,"$1,299",Sportswear,8
Sandalias Adilette 22,"$1,299",Hombre Originals,14
RIVALRY 86 LOW,"$2,499",Originals,3
Tenis USA 84,"$1,399",Originals,5
Tenis Exhibit Select CP Mid,"$2,464",Basketball,1
Tenis Questar,"$1,500",Running,8
Tenis Supernova 2.0,"$2,399",Running,4
Calzado Predator Accuracy.3 Pasto Sintético,"$2,299",Fútbol,1
Y-3 GR.1P HIGH,"$6,299",Y-3,1
Tenis Ultraboost Light 23,"$3,999",Running,21
Tenis Rivalry Low TR,"$2,211",Originals,2
Tenis Rapidmove ADV,"$2,053",Training,6
Tenis Adizero SL,"$2,699",Running,17
Tenis adidas Grand Court Cloudfoam Comfort,"$1,499",Sportswear,10
Tenis Response Runner,"$1,299",Running,12
Tenis Questar,"$1,899",Running,7
Tenis Crazy 1,"$3,499",Basketball,1
Calzado de Fútbol Predator Accuracy.3,"$1,816",Fútbol,4
ADIZERO SL,"$2,699",Running,16
Tenis de Running Switch FWD,"$3,499",Running,4
Tenis de Senderismo Eastrail 2.0,"$2,299",TERREX,4
SUPERSTAR XLG,"$3,299",Originals,7
Calzado de Fútbol X Crazyfast.1 Pasto Sintético,"$4,999",Fútbol,1
Tenis Campus 80s,"$2,499",Originals,4
Tenis Response CL,"$3,099",Originals,4
Tenis Duramo SL,"$1,499",Running,11
Tenis USA 84,"$1,499",Originals,5
Tenis Runfalcon 2.0,"$1,189",Running,17
Tenis Breaknet 2.0,"$1,249",Sportswear,5
SheenWalk W,"$1,103",Caminar,2
