id,shoe_name,shoe_price,shoe_category,shoe_nColors,shoe_genre
ID6287,Tenis adidas VL Court 3.0,"$1,499",Sportswear,4,Hombre
IE9303,Tenis Trae Young 3,"$3,023",Basketball,3,Hombre
HP5982,Tenis Avryn,"$2,519",Sportswear,14,Hombre
ID6996,Tenis adidas Court Low Streetcheck Cloudfoam,"$1,342",Sportswear,4,Hombre
IF1553,Tenis 3-Franjas,"$1,099",Sportswear,5,Hombre
IG7762,Calzado de Fútbol Predator League Terreno Firme,"$2,199",Fútbol,2,Hombre
IF6274,Tenis Rivalry Low 86,"$2,299",Originals,1,Hombre
IF9995,Tenis Superstar XLG,"$2,499",Originals,7,Hombre
GC0994,Levato W,$965,Running,2,Hombre
GY2536,Tenis Centennial 85 High,"$2,687",Originals,1,Hombre
IG7758,Calzado de Fútbol Predator Club Multiterreno,"$1,499",Fútbol,3,Hombre
IG5918,Sandalias Adilette 22,"$1,019",Hombre Originals,14,Hombre
IG8700,FORUM LOW CL,"$2,399",Originals,1,Hombre
HQ8775,Tenis Dropset 2,"$2,599",Training,10,Hombre
GW5698,Tenis NMD_R1,Unknown,Originals,10,Hombre
BD7633,Tenis Handball Spezial,Unknown,Originals,10,Hombre
IF3509,NMD_R1,Unknown,Originals,2,Hombre
IF5166,Tenis Forum Low,Unknown,Originals,5,Hombre
ID2703,Tenis Duramo RC,Unknown,Running,5,Hombre
ID9336,Calzado X Crazyfast.3 Césped artificial,Unknown,Fútbol,3,Hombre
IG7768,Calzado de Fútbol Predator League sin Cordones Terreno Firme,"$2,399",Fútbol,2,Hombre
GY2566,Tenis Superstar,"$2,299",Originals,23,Hombre
IF2736,Tenis Forum 84 High,"$3,299",Originals,1,Hombre
GX9776,Tenis Adizero Takumi Sen 9,"$3,611",Running,3,Hombre
GY7427,Tenis de Futbol X CRAZYFAST.3 LL FG,"$2,399",Fútbol,2,Hombre
IE7498,Calzado de Fútbol Copa Pure II League Pasto Sintético,"$1,999",Fútbol,2,Hombre
IG1099,Calzado de Fútbol Copa Pure II Club Multiterreno,"$1,399",Fútbol,3,Hombre
IF5402,Tenis Galaxy Star,"$1,172",Running,3,Hombre
IF5396,Tenis Galaxy Star,"$1,172",Hombre Running,5,Hombre
GY2010,Tenis USA 84,"$1,399",Originals,5,Hombre
GW9786,Tenis adidas Court Plataforma,"$1,299",Sportswear,5,Hombre
IG0560,Tenis Swift Run,"$1,816",Sportswear,4,Hombre
IE4079,Calzado de Fútbol X Crazyfast Messi.1 Terreno Firme,"$4,799",Fútbol,1,Hombre
ID2963,Tenis adidas Grand Court 2.0,"$1,499",Sportswear,2,Hombre
GZ8568,SEELEY XT,"$1,342",Originals,1,Hombre
IG0455,Tenis Gazelle 85,Unknown,Originals,1,Hombre
IE1692,Tenis Ultraboost Light 23,Unknown,Running,17,Hombre
FW7393,Tenis Duramo SL,Unknown,Running,8,Hombre
FY6680,Tenis Duramo SL,Unknown,Running,8,Hombre
FY6681,Tenis Duramo SL,Unknown,Running,8,Hombre
ID2706,Tenis Duramo RC,Unknown,Running,6,Hombre
FZ6296,Tenis Forum 84 Low Classic,"$2,899",Originals,4,Hombre
IF0953,Tenis de Entrenamiento Amplimove,"$1,399",Training,4,Hombre
GW3036,Tenis Hoops 3.0 Low Classic,"$1,499",Sportswear,4,Hombre
IE9249,Tenis Harden Vol. 7,"$3,399",Basketball,4,Hombre
IF3633,Tenis Superstar,"$2,199",Originals,2,Hombre
ID1970,Tenis adidas Court Plataforma,"$1,299",Sportswear,5,Hombre
IF5504,Y-3 QASA,"$6,363",Y-3,2,Hombre
FX8921,Tenis Puremotion,"$1,259",Hombre Sportswear,1,Hombre
IG5947,Tenis de Ciclismo Velosamba Made With Nature,"$2,999",Ciclismo,2,Hombre
FX5675,Tenis Handball Spezial,"$2,199",Originals,10,Hombre
HQ4435,Tenis NMD_S1,"$2,559",Originals,11,Hombre
GX4583,Tenis USA 84,"$1,399",Originals,5,Hombre
IE2293,Tenis AdiFOM Superstar,"$1,799",Originals,3,Hombre
IE1418,AMSTERDAM,"$2,199",Originals,2,Hombre
IG9852,Tenis Park Street,"$1,599",Sportswear,6,Hombre
IG5537,Tenis NMD_S1,"$3,359",Originals,11,Hombre
IG9849,Tenis Park Street,"$1,599",Sportswear,3,Hombre
IF5619,Tenis Harden Vol. 7,"$3,399",Basketball,4,Hombre
ID3726,Tenis Gazelle edición Selección Nacional de México,"$2,099",Originals,3,Hombre
IE2694,Tenis Harden Volume 8,"$3,899",Basketball,3,Hombre
IE7538,Calzado de Fútbol Copa Gloro Terreno Firme,"$2,999",Fútbol,2,Hombre
IE0476,FORUM LOW,Unknown,Hombre Originals,11,Hombre
HQ8955,Calzado de fútbol Copa Pure II+ Terreno Firme,Unknown,Fútbol,3,Hombre
IE5675,Tenis Predator Mundial,Unknown,Originals,2,Hombre
IG7723,Calzado de Fútbol Predator 24 League Low Pasto Sintético,Unknown,Fútbol,3,Hombre
IG1180,Tenis Run 60s 3.0 Lifestyle Running,Unknown,Sportswear,8,Hombre
IF6063,Tenis adidas by Stella McCartney Sportswear,Unknown,adidas by Stella McCartney,1,Hombre
IG2377,Tenis Heawyn,"$1,847",Sportswear,4,Hombre
IF9907,Tenis Dropset 2,"$2,435",Training,10,Hombre
FZ6221,Tenis Top 10 2000,"$2,685",Originals,2,Hombre
IE7845,Tenis Bounce Legends,"$1,899",Basketball,2,Hombre
GY9420,Tenis Handball Spezial,"$2,199",Hombre Originals,10,Hombre
IG6555,Tenis Run 50S,"$1,099",Sportswear,5,Hombre
ID2272,Tenis Runfalcon 2.0,"$1,399",Running,15,Hombre
HP8600,Tenis de Senderismo Eastrail 2.0 RAIN.RDY Mid,"$2,999",TERREX,2,Hombre
IG5732,Tenis Falcon,"$2,199",Originals,9,Hombre
HP9632,Tenis Adistar COLD.RDY,"$3,699",Running,1,Hombre
IF3988,Tenis Dropset 2,"$2,599",Training,10,Hombre
FW7391,Tenis Duramo SL,"$1,399",Running,8,Hombre
GY1913,Tenis adidas Court Low Streetcheck Cloudfoam,"$1,342",Sportswear,4,Hombre
HP6031,Tenis Daily 3.0,"$1,399",Sportswear,4,Hombre
IF2240,Tenis Questar,"$1,500",Running,9,Hombre
IE9550,Tenis NMD_S1,Unknown,Originals,4,Hombre
ID6288,Tenis adidas VL Court 3.0,Unknown,Sportswear,4,Hombre
IE7525,Calzado de Fútbol Copa Pure II Club Pasto Sintético,Unknown,Fútbol,2,Hombre
GZ8857,Tenis Nizza Trek,Unknown,Originals,2,Hombre
ID2701,Tenis Duramo RC,Unknown,Running,5,Hombre
IF3932,Tenis Adifom Climacool,Unknown,Originals,3,Hombre
IG6175,Tenis Samba OG,"$2,199",Originals,2,Hombre
ID7333,Tenis Response Runner,"$1,299",Running,12,Hombre
GZ1338,Tenis Postmove Mid,"$1,799",Hombre Sportswear,4,Hombre
GY9696,Tenis de Básquet Own the Game 2.0 Lightmotion Mid,"$1,499",Sportswear,1,Hombre
IG7324,Tenis Racer TR23,"$1,579",Sportswear,11,Hombre
ID4683,Tenis Superstar,"$2,199",Originals,23,Hombre
ID8375,NMD_R1,"$2,855",Originals,1,Hombre
HP2415,Tenis Galaxy 6,"$1,499",Running,14,Hombre
IE7492,Calzado de Fútbol Copa Pure II League Terreno Firme,"$1,999",Fútbol,3,Hombre
GY2552,Tenis Superstar Supermodified,"$2,699",Originals,2,Hombre
ID7307,Tenis Adizero SL Cierra,"$2,267",Running,1,Hombre
ID4655,Tenis Superstar XLG,"$2,599",Originals,7,Hombre
HP6382,Tenis OZWEEGO,"$2,519",Originals,12,Hombre
IE1772,Tenis Ultraboost Light,"$3,359",Running,21,Hombre
GZ5886,Zuecos adilette,$899,Natación,1,Hombre
HP2259,Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,8,Hombre
IE7203,Tenis Forum Low CL,"$2,399",Originals,2,Hombre
IE1419,Tenis Amsterdam,"$2,199",Originals,2,Hombre
GX6763,Tenis Ozelle Cloudfoam,"$1,799",Sportswear,4,Hombre
ID4447,Tenis Y-3 Marathon TR,"$6,299",Y-3,2,Hombre
IF2854,Tenis Ozelle Cloudfoam,"$1,579",Sportswear,7,Hombre
IG8936,Tenis Run 50S,Unknown,Sportswear,5,Hombre
IF0723,Calzado de fútbol X Crazyfast Club Pasto Sintético,Unknown,Fútbol,1,Hombre
IE6180,Calzado I Basketball Fear of God Athletics,Unknown,Fear of God Athletics,1,Hombre
IE7255,Y-3 KAIWA,Unknown,Y-3,4,Hombre
FZ6364,Y-3 MAKURA,Unknown,Y-3,2,Hombre
GY6347,Tenis Showtheway 2.0,Unknown,Sportswear,3,Hombre
GZ7969,Tenis Hoops 2.0,"$1,399",Sportswear,2,Hombre
GW7120,Tenis Advantage Base adidas Court,"$1,299",Sportswear,5,Hombre
HP2258,Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,8,Hombre
ID3186,Tenis OZWEEGO,"$2,999",Originals,2,Hombre
GW1962,Tenis Solarboost 5,"$2,241",Running,2,Hombre
IF3632,Tenis Superstar,"$2,199",Originals,2,Hombre
IE9674,Tenis Duramo Speed,"$1,737",Running,10,Hombre
IE0232,Tenis de Ciclismo Velosamba Made With Nature,"$2,999",Ciclismo,2,Hombre
IE9279,Tenis Bounce Legends,"$1,899",Basketball,4,Hombre
IE7523,Calzado de Fútbol Copa Pure II Club Pasto Sintético,"$1,399",Fútbol,2,Hombre
IF0444,Tenis Adizero Ubersonic 4.1 para Tenis,"$3,299",Tennis,3,Hombre
IE7270,Y-3 RUNNER 4D HALO,"$7,039",Y-3,3,Hombre
IE0168,ADIDAS  X BSTN SAMBA,"$3,199",Originals,1,Hombre
IF6248,RIVALRY LOW,"$2,199",Originals,2,Hombre
HP7401,Tenis de Senderismo Terrex AX4 Mid GORE-TEX,"$3,499",TERREX,1,Hombre
F35543,Sandalias Adilette Aqua (UNISEX),Unknown,Yoga,15,Hombre
IF3937,Tenis Adifom Climacool,Unknown,Originals,3,Hombre
ID2041,Tenis Stan Smith CS,Unknown,Originals,7,Hombre
ID8468,ADIZERO ADIOS PRO 3 M,Unknown,Running,7,Hombre
IE8502,Tenis Gazelle,Unknown,Originals,14,Hombre
IE2613,Calzado de Fútbol Predator 24 League Low Pasto Sintético,Unknown,Fútbol,3,Hombre
IF7915,Tenis OZWEEGO,"$2,519",Originals,2,Hombre
ID6928,Tenis Adizero SL,"$2,132",Running,17,Hombre
IG5309,Tenis Y-3 Gazelle,"$7,999",Y-3,4,Hombre
FZ3438,Tenis Multix,"$1,343",Sportswear,6,Hombre
ID9630,Tenis Advantage,"$1,399",Sportswear,12,Hombre
FX5118,Tenis Multix,"$1,599",Originals,6,Hombre
IF6506,Tenis Courtblock,"$1,199",Hombre Sportswear,4,Hombre
ID4957,Tenis Dropset 2,"$2,599",Training,10,Hombre
IG0737,Tenis Response Runner,"$1,299",Running,12,Hombre
HP2236,Tenis Supernova 2.0 x Parley,"$2,053",Running,1,Hombre
IF3641,Tenis Superstar,"$2,199",Originals,1,Hombre
IE9630,Tenis Astir,"$2,053",Originals,7,Hombre
FV8086,Tenis Bravada,"$1,299",Sportswear,3,Hombre
ID4270,Sandalias Terrex Hydroterra,"$1,899",TERREX,2,Hombre
IF6492,Tenis Courtblock,"$1,199",Sportswear,10,Hombre
IF7489,Tenis Daily 3.0,"$1,399",Sportswear,4,Hombre
ID8587,Tenis Trae Young 3 Low,"$3,023",Basketball,1,Hombre
GW9262,Tenis adidas Grand Court TD Lifestyle Court Casual,"$1,399",Sportswear,6,Hombre
FV8786,Tenis Duramo SL,"$1,399",Running,8,Hombre
GY9358,Tenis Ultraboost Light 23,"$3,611",Running,1,Hombre
IE1775,Tenis Ultraboost Light 23,"$2,559",Running,17,Hombre
IF2740,Tenis Forum Low,Unknown,Originals,2,Hombre
ID4122,Tenis Y-3 Superstar,Unknown,Y-3,5,Hombre
FX5676,Tenis Handball Spezial,Unknown,Originals,10,Hombre
IE2004,Tenis OZELIA,Unknown,Originals,7,Hombre
ID1912,Tenis Run 70s,Unknown,Sportswear,3,Hombre
ID6973,Tenis Stan Smith,Unknown,Originals,2,Hombre
IG5560,Tenis D Rose Son of Chi 3,Unknown,Basketball,1,Hombre
HP2383,Tenis Duramo SL 2.0,"$1,499",Running,5,Hombre
ID0853,Tenis de Running 4DFWD 3,"$5,499",Running,4,Hombre
GY9473,Tenis Campus 00s,"$2,499",Originals,2,Hombre
IF2870,TORSION SUPER,"$2,132",Originals,2,Hombre
GX8153,Tenis Adizero RC 4,"$1,816",Running,7,Hombre
HP9629,Tenis Adistar COLD.RDY,"$3,699",Running,1,Hombre
IG7731,Calzado de Fútbol Predator 24 Elite Pasto Sintético,"$3,999",Fútbol,1,Hombre
IF5137,Tenis Puremotion 2.0,"$1,184",Sportswear,1,Hombre
IG3132,ADIZERO ADIOS PRO 3 M,"$4,999",Running,7,Hombre
IG7931,Tenis Hoops 3.0 Corte Medio,"$1,599",Sportswear,10,Hombre
IG7932,Tenis Hoops 3.0 Corte Medio,"$1,599",Hombre Sportswear,10,Hombre
GY7432,Calzado X Crazyfast.4 Multiterreno,"$1,499",Fútbol,3,Hombre
ID5583,Tenis Park ST,"$1,599",Sportswear,3,Hombre
IF4876,Tenis de Senderismo Terrex AX3 GORE-TEX Corte Medio,"$3,499",TERREX,1,Hombre
IG2934,Y-3 GENDO PRO MODEL,Unknown,Y-3,1,Hombre
FZ0961,Tenis Run 60s 2.0,Unknown,Sportswear,1,Hombre
IE7311,Tenis AdiFOM Superstar,Unknown,Originals,2,Hombre
H03704,Tenis Stan Smith Recon,Unknown,Originals,3,Hombre
IG8086,Tenis DAME 8 EXTPLY,Unknown,Basketball,4,Hombre
IF5397,Tenis Galaxy Star,Unknown,Running,5,Hombre
GZ5920,Sandalias Adilette Shower,$899,Natación,23,Hombre
IE3115,Court TNS Premiere Shoes,"$1,899",Originals,2,Hombre
ID6898,Tenis Adizero Boston 12,"$3,611",Running,8,Hombre
ID9673,Tenis Ultraboost 1.0,"$3,999",Sportswear,6,Hombre
IE2962,Tenis Questar,"$1,899",Running,7,Hombre
IG2262,Tenis Ultra 4D,"$4,619",Running,1,Hombre
ID0465,Tenis X_PLR Path,"$1,299",Sportswear,6,Hombre
HP9426,Tenis Breaknet 2.0,"$1,249",Sportswear,5,Hombre
GZ7967,Tenis Hoops 2.0,"$1,399",Sportswear,2,Hombre
IE0742,Tenis Runfalcon 2.0,"$1,399",Running,17,Hombre
EF8472,Tenis Busenitz Vulc II,"$1,899",Originals,2,Hombre
IE7232,Tenis Top Ten 2010,"$2,889",Originals,1,Hombre
IF0243,Zapatos de Golf Tour360 24 BOOST,"$4,999",Hombre Golf,3,Hombre
HP2437,Tenis Questar,"$1,500",Running,8,Hombre
IG0804,Y-3 GAZELLE,"$6,999",Y-3,4,Hombre
HQ4561,Tenis NMD_R1,"$2,345",Originals,31,Hombre
IF5602,Tenis Trae Young 3,"$3,023",Basketball,3,Hombre
IG4781,Tenis X_PLR Phase,"$1,895",Sportswear,4,Hombre
IE9935,Tenis Forum 84 Low,"$2,899",Originals,1,Hombre
IE6986,Tenis Astir,"$2,053",Originals,7,Hombre
ID0355,RESPONSE CL,"$3,199",Originals,4,Hombre
ID9434,Tenis X_PLORBOOST,Unknown,Sportswear,17,Hombre
IF6504,Tenis Courtblock,Unknown,Sportswear,4,Hombre
HP9644,Tenis Adistar CS 2.0,Unknown,Running,3,Hombre
FY4975,Tenis Forum Mid,Unknown,Originals,6,Hombre
IF7290,Tenis AlphaEdge +,Unknown,Sportswear,6,Hombre
ID5738,CAMPUS 00s REGENERATIVE COTTON,Unknown,Originals,2,Hombre
ID3505,Tenis de Running 4DFWD x STRUNG 4D,Unknown,Running,1,Hombre
GY5427,Tenis Hoops 3.0 Low Classic Vintage,Unknown,Sportswear,7,Hombre
IG4986,Tenis Gazelle,Unknown,Originals,14,Hombre
IE9693,Tenis Duramo SL,"$1,034",Running,11,Hombre
GX8156,Tenis Adizero RC 4,"$1,931",Running,3,Hombre
IG3055,Tenis X_PLR Phase,"$1,895",Sportswear,5,Hombre
ID7337,Tenis Response Runner,"$1,299",Running,12,Hombre
HP6102,Tenis Lite Racer 3.0,"$1,299",Sportswear,8,Hombre
ID3187,Tenis OZWEEGO,"$2,999",Originals,2,Hombre
HQ4462,Tenis NMD_R1,"$2,685",Originals,31,Hombre
IE3526,Calzado de Golf Modern Classic 80 Spikeless,"$3,799",Golf,2,Hombre
IE9910,Tenis Rivalry Low,"$2,199",Hombre Originals,13,Hombre
ID1810,Tenis Dame Extply 2.0,"$1,579",Basketball,4,Hombre
GY2268,Tenis Bravada,"$1,299",Sportswear,3,Hombre
IG3088,Tenis Ultraboost 1.0,"$4,599",Running,2,Hombre
IG8301,Tenis Falcon,Unknown,Originals,9,Hombre
HP7396,Tenis de Senderismo Terrex AX4 GORE-TEX,Unknown,TERREX,5,Hombre
IE7351,Tenis Forum XLG,Unknown,Originals,1,Hombre
HQ2134,Tenis Adizero Adios Pro 3.0,Unknown,Running,2,Hombre
ID2064,Tenis Campus 00s,Unknown,Originals,2,Hombre
